programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
html,"CSS, HTML, Javascript, PHP, Python, SQL",50000.0,60240.96,"['css', 'html', 'javascript', 'php', 'python', 'sql']"
javascript,"CSS, HTML, Javascript, PHP, Python, SQL",50000.0,60240.96,"['css', 'html', 'javascript', 'php', 'python', 'sql']"
php,"CSS, HTML, Javascript, PHP, Python, SQL",50000.0,60240.96,"['css', 'html', 'javascript', 'php', 'python', 'sql']"
python,"CSS, HTML, Javascript, PHP, Python, SQL",50000.0,60240.96,"['css', 'html', 'javascript', 'php', 'python', 'sql']"
sql,"CSS, HTML, Javascript, PHP, Python, SQL",50000.0,60240.96,"['css', 'html', 'javascript', 'php', 'python', 'sql']"
java,"Java, Kotlin",121000.0,153800.0,"['java', 'kotlin']"
kotlin,"Java, Kotlin",121000.0,153800.0,"['java', 'kotlin']"
css,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
html,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
java,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
javascript,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
sql,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
vba,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
css,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
html,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
java,"CSS, HTML, Java, Javascript, SQL, VBA",80000.0,140000.0,"['css', 'html', 'java', 'javascript', 'sql', 'vba']"
